_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
6790297f58d39b7843f2d373,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,MARIANO MORENO,10354,FLORENTINO LEON,01H01049,Ordinario,Fiscal,Rural,Sierra,Intercultural,3,0,3,18,25,43,43,0,0,0,0,0
6790297f58d39b7843f2d374,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,MARIANO MORENO,10354,MARIETA  VASQUEZ  PEÑA,01H01050,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,1,2,14,12,26,26,0,0,0,0,0
6790297f58d39b7843f2d375,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,MARIANO MORENO,10354,REINALDO SEMINARIO,01H01051,Ordinario,Fiscal,Rural,Sierra,Intercultural,0,2,2,20,18,38,38,0,0,0,0,0
6790297f58d39b7843f2d376,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,REMIGIO CRESPO TORAL (GULAG),10356,ALFONSO ESTRELLA MARCHAN,01H01052,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,1,2,11,10,21,21,0,0,0,0,0
6790297f58d39b7843f2d377,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,REMIGIO CRESPO TORAL (GULAG),10356,CLUB DE LEONES DE VIRGINIA,01H01053,Ordinario,Fiscal,Rural,Sierra,Intercultural,3,1,4,13,12,25,25,0,0,0,0,0
6790297f58d39b7843f2d378,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,REMIGIO CRESPO TORAL (GULAG),10356,LUIS CHACON MARIN,01H01054,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,1,2,12,19,31,31,0,0,0,0,0
6790297f58d39b7843f2d379,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,29 DE SEPTIEMBRE,01H01056,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,2,3,32,40,72,72,0,0,0,0,0
6790297f58d39b7843f2d37a,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,LUIS EDUARDO SORIA,01H01059,Ordinario,Fiscal,Rural,Sierra,Intercultural,2,0,2,18,20,38,37,0,0,0,1,0
6790297f58d39b7843f2d37b,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,MIGUEL ANGEL GALARZA,01H01061,Ordinario,Fiscal,Rural,Sierra,Intercultural,5,2,7,64,48,112,112,0,0,0,0,0
6790297f58d39b7843f2d37c,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,12  DE  ABRIL,01H01062,Ordinario,Fiscal,Rural,Sierra,Intercultural,8,5,13,56,82,138,138,0,0,0,0,0
6790297f58d39b7843f2d37d,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,VICENTE PEÑA REYES,01H01063,Ordinario,Fiscal,Rural,Sierra,Intercultural,3,3,6,31,42,73,72,0,0,0,1,0
6790297f58d39b7843f2d37e,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,CARLOS PESANTEZ TORRES,01H01064,Ordinario,Fiscal,Rural,Sierra,Intercultural,0,1,1,4,2,6,6,0,0,0,0,0
6790297f58d39b7843f2d37f,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,10 DE FEBRERO,01H01065,Ordinario,Fiscal,Rural,Sierra,Intercultural,0,1,1,10,7,17,17,0,0,0,0,0
6790297f58d39b7843f2d380,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,EMILIO MOSCOSO,01H01066,Ordinario,Fiscal,Rural,Sierra,Intercultural,6,3,9,37,45,82,78,0,0,0,4,0
6790297f58d39b7843f2d381,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,NICANOR AGUILAR MALDONADO,01H01067,Ordinario,Fiscal,Rural,Sierra,Intercultural,18,6,24,357,351,708,705,0,0,0,3,0
6790297f58d39b7843f2d382,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,SAN JUAN,10357,RODOLFO ESPINOZA GARCIA,01H01069,Ordinario,Fiscal,Rural,Sierra,Intercultural,3,0,3,32,23,55,55,0,0,0,0,0
6790297f58d39b7843f2d383,2011-2012 Inicio,Zona 6,AZUAY,1,GUALACEO,103,ZHIDMAD,10358,BENJAMIN ALBORNOZ,01H01071,Ordinario,Fiscal,Rural,Sierra,Intercultural,1,2,3,14,22,36,36,0,0,0,0,0
